Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD000018,30-06-2021,2021,6,June,Q2,Haryana,Faridabad,Hero Dealer Faridabad,Online Booking,Xpulse 200 4V,Adventure,199,Green,26,Female,UPI,167043,1355,14015,13371,0,4787,175070,142929,32141,2,3.6
ORD000019,14-09-2022,2022,9,September,Q3,Jharkhand,Ranchi,Hero Dealer Ranchi,Corporate Sale,Pleasure Plus,Scooter,110,Blue,43,Female,Cash,81503,3450,1450,905,0,4333,83389,66170,17219,2,4.0
ORD000020,20-05-2024,2024,5,May,Q2,Andhra Pradesh,Visakhapatnam,Hero Dealer Visakhapatnam,Corporate Sale,Destini 125,Scooter,125,White,43,Male,Credit Card,92038,6617,5339,11858,0,279,92795,67854,24941,10,4.0
ORD000021,09-10-2020,2020,10,October,Q4,Jammu and Kashmir,Srinagar,Hero Dealer Srinagar,Corporate Sale,Xtreme 160R,Sports,163,Green,49,Male,Finance,132700,4938,11627,9924,109074,6265,125234,107474,17760,11,4.9
ORD000022,04-04-2024,2024,4,April,Q2,Gujarat,Surat,Hero Dealer Surat,Corporate Sale,Maestro Edge 125,Scooter,125,Red,36,Male,Cash,81550,1886,4849,9482,0,3616,81351,67468,13883,14,4.4
ORD000023,30-08-2024,2024,8,August,Q3,Telangana,Warangal,Hero Dealer Warangal,Corporate Sale,HF Deluxe,Commuter,97,Black,31,Female,Credit Card,74558,465,2761,1816,25970,2772,74926,54975,19951,10,4.4
ORD000024,07-06-2025,2025,6,June,Q2,Madhya Pradesh,Indore,Hero Dealer Indore,Online Booking,Splendor Plus,Commuter,100,Grey,20,Male,Finance,96950,1181,7379,10726,71703,614,111625,72741,38884,8,4.8
ORD000025,30-05-2023,2023,5,May,Q2,Jharkhand,Jamshedpur,Hero Dealer Jamshedpur,Online Booking,Splendor Plus,Commuter,100,Grey,41,Female,UPI,98000,420,4771,3296,0,2005,106849,74187,32662,14,4.9
ORD000026,08-12-2020,2020,12,December,Q4,Karnataka,Mysore,Hero Dealer Mysore,Online Booking,HF Deluxe,Commuter,97,White,38,Female,UPI,77077,3577,7442,5495,0,112,76282,56068,20214,4,4.3
ORD000027,22-09-2024,2024,9,September,Q3,Uttar Pradesh,Kanpur,Hero Dealer Kanpur,Online Booking,Super Splendor,Commuter,125,Blue,27,Female,Cash,100823,3118,3923,8558,0,1770,99313,75071,24242,13,4.7
ORD000028,27-09-2021,2021,9,September,Q3,Rajasthan,Udaipur,Hero Dealer Udaipur,Showroom Walk-in,Passion Plus,Commuter,97,Blue,26,Female,Credit Card,96487,7008,2098,9061,0,2706,109348,70417,38931,1,4.4
ORD000029,04-05-2021,2021,5,May,Q2,Odisha,Cuttack,Hero Dealer Cuttack,Corporate Sale,Passion Plus,Commuter,97,Green,31,Female,Credit Card,90123,5240,9008,892,0,197,86239,65197,21042,13,4.4
ORD000030,11-09-2024,2024,9,September,Q3,Haryana,Faridabad,Hero Dealer Faridabad,Online Booking,Glamour,Commuter,125,Red,48,Female,Cash,95161,1622,8046,12338,5079,4448,91796,69512,22284,10,4.2
ORD000031,05-05-2020,2020,5,May,Q2,Chandigarh,Chandigarh,Hero Dealer Chandigarh,Online Booking,Splendor Plus,Commuter,100,Blue,49,Female,UPI,96690,7171,6310,12091,0,5319,109656,79172,30484,7,4.0
ORD000032,10-03-2022,2022,3,March,Q1,Maharashtra,Nagpur,Hero Dealer Nagpur,Corporate Sale,Passion Plus,Commuter,97,Blue,57,Male,Cash,97095,5604,6161,1807,0,1355,102588,74265,28323,1,4.3
ORD000033,10-04-2023,2023,4,April,Q2,Uttar Pradesh,Lucknow,Hero Dealer Lucknow,Showroom Walk-in,Xtreme 160R,Sports,163,Grey,32,Male,Cash,133146,3344,5731,1943,0,304,147010,110101,36909,3,4.2
ORD000034,22-01-2023,2023,1,January,Q1,Bihar,Patna,Hero Dealer Patna,Showroom Walk-in,Destini 125,Scooter,125,Red,40,Male,Finance,96950,3768,9414,9498,75476,567,107052,75451,31601,14,3.4
ORD000035,08-04-2020,2020,4,April,Q2,Maharashtra,Nagpur,Hero Dealer Nagpur,Showroom Walk-in,Xtreme 125R,Sports,125,Grey,42,Female,Finance,121800,1024,10831,1024,75243,3336,123077,101000,22077,2,4.9
ORD000036,11-05-2021,2021,5,May,Q2,West Bengal,Kolkata,Hero Dealer Kolkata,Online Booking,HF Deluxe,Commuter,97,Red,46,Male,Finance,74887,3291,6506,4348,59685,4055,80628,64959,15669,14,3.8
ORD000037,21-01-2025,2025,1,January,Q1,Gujarat,Ahmedabad,Hero Dealer Ahmedabad,Corporate Sale,Passion Plus,Commuter,97,Blue,54,Male,Finance,96237,2999,3312,10861,91579,4256,101655,74602,27053,4,3.8
ORD000038,11-11-2022,2022,11,November,Q4,Goa,Panaji,Hero Dealer Panaji,Corporate Sale,Xpulse 200 4V,Adventure,199,Red,25,Female,Finance,174498,369,14782,11940,172230,6089,166517,131972,34545,10,3.7
ORD000039,31-12-2020,2020,12,December,Q4,Tamil Nadu,Coimbatore,Hero Dealer Coimbatore,Online Booking,HF Deluxe,Commuter,97,Black,29,Female,Finance,76351,3952,3537,7831,51951,2535,81927,61543,20384,12,4.5
ORD000040,15-02-2023,2023,2,February,Q1,Andhra Pradesh,Visakhapatnam,Hero Dealer Visakhapatnam,Online Booking,HF Deluxe,Commuter,97,Grey,53,Female,Finance,75374,3875,2008,5703,51220,3494,85566,60383,25183,13,5.0
ORD000041,31-03-2021,2021,3,March,Q1,Uttar Pradesh,Noida,Hero Dealer Noida,Corporate Sale,HF Deluxe,Commuter,97,Grey,33,Female,Credit Card,76424,2979,4776,9559,23776,113,81219,56156,25063,11,3.6
ORD000042,16-01-2023,2023,1,January,Q1,Chhattisgarh,Raipur,Hero Dealer Raipur,Online Booking,Xpulse 200 4V,Adventure,199,Grey,32,Female,Credit Card,171534,3469,12287,13774,0,2524,197095,125591,71504,15,4.3
ORD000043,25-05-2020,2020,5,May,Q2,Delhi,New Delhi,Hero Dealer New Delhi,Online Booking,Xpulse 200 4V,Adventure,199,White,26,Male,Finance,168439,8364,14656,3942,136406,3636,183403,131292,52111,5,3.5
ORD000044,14-07-2024,2024,7,July,Q3,Odisha,Bhubaneswar,Hero Dealer Bhubaneswar,Online Booking,Xtreme 160R,Sports,163,Blue,45,Male,Credit Card,130030,5674,6584,11573,0,1148,127672,103317,24355,10,3.9
ORD000045,08-05-2020,2020,5,May,Q2,Uttar Pradesh,Noida,Hero Dealer Noida,Online Booking,Passion Plus,Commuter,97,White,53,Male,Credit Card,94412,6580,8221,3681,0,4843,106039,69514,36525,13,3.8
ORD000046,07-12-2020,2020,12,December,Q4,Andhra Pradesh,Vijayawada,Hero Dealer Vijayawada,Online Booking,Xtreme 125R,Sports,125,Black,44,Female,Cash,123152,1349,12100,6576,0,611,121001,99495,21506,14,5.0
ORD000047,25-01-2020,2020,1,January,Q1,Karnataka,Bangalore,Hero Dealer Bangalore,Online Booking,Destini 125,Scooter,125,Black,22,Female,Cash,90911,4981,7980,4107,0,4222,102715,72137,30578,14,4.3
ORD000048,25-11-2023,2023,11,November,Q4,Madhya Pradesh,Indore,Hero Dealer Indore,Showroom Walk-in,Pleasure Plus,Scooter,110,Grey,22,Female,Credit Card,82577,2038,7517,4961,0,1941,78679,71088,7591,15,3.6
ORD000049,30-07-2023,2023,7,July,Q3,Uttarakhand,Dehradun,Hero Dealer Dehradun,Corporate Sale,HF Deluxe,Commuter,97,Black,27,Female,Cash,74762,653,6656,7149,0,4140,85459,64827,20632,10,4.5
ORD000050,04-02-2024,2024,2,February,Q1,Rajasthan,Udaipur,Hero Dealer Udaipur,Corporate Sale,Super Splendor,Commuter,125,White,52,Female,Cash,103797,1895,5505,1676,48338,2235,118820,77061,41759,15,4.9
ORD000051,27-08-2020,2020,8,August,Q3,Kerala,Kochi,Hero Dealer Kochi,Corporate Sale,Xtreme 160R,Sports,163,White,19,Male,Credit Card,139206,1049,3905,7305,0,3532,156125,120654,35471,6,3.6
ORD000052,07-10-2023,2023,10,October,Q4,Odisha,Bhubaneswar,Hero Dealer Bhubaneswar,Online Booking,Xoom 125,Scooter,125,White,26,Male,Credit Card,95459,7663,5812,4142,0,4161,93274,76616,16658,1,3.6
ORD000053,31-05-2023,2023,5,May,Q2,Andhra Pradesh,Vijayawada,Hero Dealer Vijayawada,Corporate Sale,Xpulse 200 4V,Adventure,199,Matte Blue,25,Female,UPI,167458,877,8850,15114,0,4013,177090,143751,33339,15,4.1
ORD000054,08-12-2023,2023,12,December,Q4,Andhra Pradesh,Vijayawada,Hero Dealer Vijayawada,Corporate Sale,Passion Plus,Commuter,97,Grey,23,Male,Credit Card,94900,7506,8627,7461,0,591,93244,75266,17978,7,3.7
ORD000055,23-06-2024,2024,6,June,Q2,Telangana,Warangal,Hero Dealer Warangal,Showroom Walk-in,Xtreme 160R,Sports,163,Green,57,Female,Credit Card,140311,10953,4759,15128,0,980,147799,111823,35976,6,4.1
ORD000056,28-04-2022,2022,4,April,Q2,Odisha,Bhubaneswar,Hero Dealer Bhubaneswar,Online Booking,Destini 125,Scooter,125,Green,20,Female,Finance,91943,7675,2228,5957,53040,4751,96469,78524,17945,9,4.6
ORD000057,08-01-2021,2021,1,January,Q1,Bihar,Patna,Hero Dealer Patna,Corporate Sale,Xtreme 125R,Sports,125,White,53,Male,Cash,119123,1882,3962,5797,0,627,122284,101225,21059,6,3.4
ORD000058,04-10-2022,2022,10,October,Q4,Tamil Nadu,Coimbatore,Hero Dealer Coimbatore,Corporate Sale,Xpulse 200 4V,Adventure,199,Green,35,Female,Credit Card,175215,8287,14057,4692,0,1474,186592,151566,35026,13,4.4
ORD000059,12-10-2020,2020,10,October,Q4,Odisha,Cuttack,Hero Dealer Cuttack,Showroom Walk-in,Passion Plus,Commuter,97,Matte Blue,36,Male,Finance,94752,4642,7710,10755,91849,730,108215,80173,28042,13,3.5
ORD000060,20-12-2024,2024,12,December,Q4,Goa,Panaji,Hero Dealer Panaji,Corporate Sale,Super Splendor,Commuter,125,Green,53,Female,UPI,99155,2640,2497,11434,0,4378,104379,80387,23992,11,3.5
ORD000061,20-08-2022,2022,8,August,Q3,Jharkhand,Jamshedpur,Hero Dealer Jamshedpur,Showroom Walk-in,Xoom 125,Scooter,125,Black,48,Male,Finance,92003,7652,3150,6716,68720,2641,97398,79632,17766,3,3.4
ORD000062,19-08-2024,2024,8,August,Q3,Punjab,Ludhiana,Hero Dealer Ludhiana,Online Booking,Maestro Edge 125,Scooter,125,Matte Blue,23,Male,Finance,78602,3783,3699,1866,64800,4317,82632,64844,17788,3,4.7
ORD000063,13-06-2021,2021,6,June,Q2,Andhra Pradesh,Visakhapatnam,Hero Dealer Visakhapatnam,Showroom Walk-in,Xtreme 160R,Sports,163,Grey,50,Male,UPI,139255,78,9657,12574,0,3089,152207,118545,33662,11,4.8
ORD000064,19-07-2022,2022,7,July,Q3,Bihar,Gaya,Hero Dealer Gaya,Showroom Walk-in,Splendor Plus,Commuter,100,Black,40,Female,Cash,90009,1051,3424,6546,0,1856,92025,67524,24501,15,4.2
ORD000065,31-10-2023,2023,10,October,Q4,Madhya Pradesh,Bhopal,Hero Dealer Bhopal,Corporate Sale,Glamour,Commuter,125,Grey,41,Female,Credit Card,101520,5811,2583,7268,0,1647,104170,86152,18018,14,4.9
ORD000066,20-10-2024,2024,10,October,Q4,Karnataka,Hubli,Hero Dealer Hubli,Online Booking,Passion Plus,Commuter,97,White,29,Female,Cash,95330,7863,2864,9551,0,5332,93341,82099,11242,7,3.7
ORD000067,28-03-2024,2024,3,March,Q1,Madhya Pradesh,Bhopal,Hero Dealer Bhopal,Showroom Walk-in,Xoom 125,Scooter,125,Grey,33,Female,UPI,92105,7139,8732,1683,0,2046,87099,74912,12187,9,3.8
ORD000068,14-10-2023,2023,10,October,Q4,Haryana,Faridabad,Hero Dealer Faridabad,Corporate Sale,Super Splendor,Commuter,125,Black,39,Female,UPI,102339,2105,3142,8547,34561,3151,109189,87828,21361,2,4.9
ORD000069,04-09-2024,2024,9,September,Q3,Uttar Pradesh,Lucknow,Hero Dealer Lucknow,Corporate Sale,Xtreme 125R,Sports,125,Grey,52,Female,Credit Card,114498,443,9860,3581,0,2242,119056,87280,31776,6,3.7
ORD000070,30-03-2021,2021,3,March,Q1,Bihar,Patna,Hero Dealer Patna,Showroom Walk-in,Maestro Edge 125,Scooter,125,Grey,45,Female,Cash,76558,2959,6678,821,0,1226,86224,62895,23329,11,4.7
ORD000071,14-02-2022,2022,2,February,Q1,Maharashtra,Pune,Hero Dealer Pune,Online Booking,Xoom 125,Scooter,125,Grey,48,Female,Cash,97873,4637,6096,7892,0,4452,92145,75143,17002,4,4.8
ORD000072,12-10-2024,2024,10,October,Q4,West Bengal,Siliguri,Hero Dealer Siliguri,Online Booking,Super Splendor,Commuter,125,Grey,27,Female,Finance,98240,8451,8675,7657,71993,4449,103993,74144,29849,14,3.7
ORD000073,28-12-2023,2023,12,December,Q4,West Bengal,Kolkata,Hero Dealer Kolkata,Showroom Walk-in,Passion Plus,Commuter,97,Blue,36,Female,Finance,97982,7035,4046,9219,80346,1053,94882,84586,10296,15,3.6
ORD000074,20-12-2020,2020,12,December,Q4,Tamil Nadu,Chennai,Hero Dealer Chennai,Online Booking,Super Splendor,Commuter,125,Red,27,Male,Cash,94497,6827,4350,3184,0,1323,108753,69075,39678,15,4.7
ORD000075,15-06-2020,2020,6,June,Q2,Haryana,Faridabad,Hero Dealer Faridabad,Corporate Sale,Super Splendor,Commuter,125,Grey,19,Female,UPI,98886,4667,6771,5756,0,4050,99129,74708,24421,9,4.2
ORD000076,17-07-2023,2023,7,July,Q3,Odisha,Cuttack,Hero Dealer Cuttack,Showroom Walk-in,Maestro Edge 125,Scooter,125,Green,50,Male,Finance,82328,5128,7784,4765,77841,3898,90417,62308,28109,7,3.6
ORD000077,07-03-2020,2020,3,March,Q1,Bihar,Patna,Hero Dealer Patna,Showroom Walk-in,Splendor Plus,Commuter,100,Green,29,Female,UPI,91716,7915,5432,9692,0,2994,102685,75934,26751,4,4.7
ORD000078,13-04-2021,2021,4,April,Q2,Assam,Guwahati,Hero Dealer Guwahati,Corporate Sale,Splendor Plus,Commuter,100,Matte Blue,19,Female,Cash,90280,6011,8139,6315,0,2656,88914,72083,16831,6,3.4
ORD000079,30-08-2021,2021,8,August,Q3,Madhya Pradesh,Bhopal,Hero Dealer Bhopal,Showroom Walk-in,HF Deluxe,Commuter,97,Green,24,Female,Credit Card,76504,6200,4230,3451,0,1672,82479,60240,22239,7,3.6
ORD000080,17-01-2024,2024,1,January,Q1,Haryana,Faridabad,Hero Dealer Faridabad,Corporate Sale,Passion Plus,Commuter,97,Black,24,Female,Finance,97368,4875,7472,5264,77089,1069,100941,71015,29926,8,3.7
ORD000081,18-12-2023,2023,12,December,Q4,Uttar Pradesh,Varanasi,Hero Dealer Varanasi,Corporate Sale,Xpulse 200 4V,Adventure,199,White,32,Male,Cash,168170,2681,10694,12757,0,7481,190695,145106,45589,12,4.1
ORD000082,03-12-2022,2022,12,December,Q4,Odisha,Cuttack,Hero Dealer Cuttack,Corporate Sale,Splendor Plus,Commuter,100,Green,38,Male,Credit Card,91977,1417,6455,8536,0,3191,104559,68294,36265,9,4.9
ORD000083,02-08-2022,2022,8,August,Q3,Gujarat,Ahmedabad,Hero Dealer Ahmedabad,Online Booking,Splendor Plus,Commuter,100,Green,48,Female,Credit Card,91261,3256,3217,679,0,4740,97382,78712,18670,8,4.4
ORD000084,01-03-2025,2025,3,March,Q1,Uttar Pradesh,Kanpur,Hero Dealer Kanpur,Online Booking,Passion Plus,Commuter,97,Black,56,Female,Cash,90616,1459,1813,1081,0,4900,94519,71978,22541,8,4.6
ORD000085,09-09-2021,2021,9,September,Q3,Jammu and Kashmir,Srinagar,Hero Dealer Srinagar,Online Booking,Maestro Edge 125,Scooter,125,Grey,56,Male,Credit Card,75851,5552,5972,1314,0,1812,84493,64327,20166,9,3.7
ORD000086,23-01-2020,2020,1,January,Q1,Rajasthan,Udaipur,Hero Dealer Udaipur,Showroom Walk-in,Xtreme 250R,Sports,249,White,57,Female,Finance,194119,3756,15071,18076,138555,6000,190358,157622,32736,7,4.9
ORD000087,13-04-2020,2020,4,April,Q2,Maharashtra,Mumbai,Hero Dealer Mumbai,Online Booking,Super Splendor,Commuter,125,Blue,34,Female,Cash,102237,7876,6477,1910,42693,1008,100827,84496,16331,15,4.9
ORD000088,12-01-2020,2020,1,January,Q1,Gujarat,Vadodara,Hero Dealer Vadodara,Showroom Walk-in,Destini 125,Scooter,125,Black,29,Female,Cash,89027,1629,3369,10103,0,311,99809,76195,23614,10,4.1
ORD000089,12-02-2023,2023,2,February,Q1,Uttar Pradesh,Varanasi,Hero Dealer Varanasi,Showroom Walk-in,Xtreme 160R,Sports,163,Black,50,Male,Cash,131832,637,3557,3160,0,946,143841,108374,35467,8,4.1
ORD000090,13-03-2025,2025,3,March,Q1,Maharashtra,Nagpur,Hero Dealer Nagpur,Corporate Sale,Maestro Edge 125,Scooter,125,Black,24,Male,Cash,77708,766,7191,795,0,156,75370,59437,15933,12,4.9
ORD000091,08-05-2023,2023,5,May,Q2,Uttar Pradesh,Noida,Hero Dealer Noida,Showroom Walk-in,Super Splendor,Commuter,125,Green,32,Male,UPI,99802,3904,4292,7188,0,2732,113067,83814,29253,13,4.2
ORD000092,25-05-2021,2021,5,May,Q2,Uttar Pradesh,Kanpur,Hero Dealer Kanpur,Corporate Sale,Splendor Plus,Commuter,100,Red,37,Male,Finance,95696,1252,4114,583,80630,5638,93115,72334,20781,3,3.4
ORD000093,09-04-2024,2024,4,April,Q2,Chandigarh,Chandigarh,Hero Dealer Chandigarh,Online Booking,Maestro Edge 125,Scooter,125,Blue,43,Male,Cash,81073,1598,5785,6447,28155,2420,76513,58822,17691,8,3.6
ORD000094,08-04-2022,2022,4,April,Q2,Tamil Nadu,Chennai,Hero Dealer Chennai,Online Booking,Xtreme 125R,Sports,125,Black,39,Female,Finance,114947,9564,3705,963,110839,6126,127738,82084,45654,8,4.9
ORD000095,05-03-2023,2023,3,March,Q1,Bihar,Patna,Hero Dealer Patna,Showroom Walk-in,HF Deluxe,Commuter,97,Grey,49,Male,Finance,72674,1118,4889,4389,63043,379,75128,58468,16660,7,3.8
ORD000096,25-05-2021,2021,5,May,Q2,Andhra Pradesh,Visakhapatnam,Hero Dealer Visakhapatnam,Showroom Walk-in,Super Splendor,Commuter,125,Red,40,Female,UPI,103623,1523,9280,8701,36330,5388,98144,74545,23599,1,4.4
ORD000097,12-09-2023,2023,9,September,Q3,Odisha,Bhubaneswar,Hero Dealer Bhubaneswar,Showroom Walk-in,Super Splendor,Commuter,125,White,42,Female,UPI,100314,3380,6495,10262,0,1723,112911,86403,26508,5,4.2
ORD000098,11-03-2020,2020,3,March,Q1,Rajasthan,Udaipur,Hero Dealer Udaipur,Online Booking,Super Splendor,Commuter,125,White,19,Male,Cash,99632,6908,8226,6902,1327,5450,111026,79568,31458,2,4.1
ORD000099,16-02-2022,2022,2,February,Q1,Telangana,Warangal,Hero Dealer Warangal,Corporate Sale,Splendor Plus,Commuter,100,White,52,Male,Cash,94659,6929,6781,5771,1443,4091,109267,77875,31392,8,3.5
ORD000100,22-01-2024,2024,1,January,Q1,Madhya Pradesh,Indore,Hero Dealer Indore,Online Booking,Destini 125,Scooter,125,Red,34,Male,Finance,94854,2867,9231,10114,64178,5521,109068,74814,34254,4,4.7
ORD000101,28-02-2021,2021,2,February,Q1,Jammu and Kashmir,Srinagar,Hero Dealer Srinagar,Corporate Sale,HF Deluxe,Commuter,97,Red,20,Female,Credit Card,73209,5668,5283,4455,0,2622,76808,54375,22433,9,3.4
ORD000102,10-12-2021,2021,12,December,Q4,Uttar Pradesh,Noida,Hero Dealer Noida,Showroom Walk-in,HF Deluxe,Commuter,97,White,29,Female,UPI,76891,6161,3965,1816,0,303,76347,56293,20054,14,4.2
ORD000103,30-01-2020,2020,1,January,Q1,Punjab,Ludhiana,Hero Dealer Ludhiana,Online Booking,Splendor Plus,Commuter,100,White,46,Male,UPI,98945,5600,1597,1333,22111,2888,103182,84720,18462,1,3.4
ORD000104,15-05-2025,2025,5,May,Q2,Odisha,Cuttack,Hero Dealer Cuttack,Corporate Sale,Xpulse 200 4V,Adventure,199,Black,54,Male,UPI,172472,4949,12318,16120,0,1795,171819,139257,32562,1,4.7
ORD000105,28-11-2022,2022,11,November,Q4,Assam,Guwahati,Hero Dealer Guwahati,Online Booking,Xoom 125,Scooter,125,White,57,Female,Credit Card,97406,1781,6309,8829,0,2240,103488,73719,29769,7,4.9
ORD000106,17-03-2020,2020,3,March,Q1,Uttar Pradesh,Varanasi,Hero Dealer Varanasi,Online Booking,HF Deluxe,Commuter,97,Blue,22,Female,Finance,74880,1701,6399,7509,55578,954,81736,59340,22396,10,4.4
ORD000107,18-10-2024,2024,10,October,Q4,Gujarat,Ahmedabad,Hero Dealer Ahmedabad,Showroom Walk-in,Xtreme 125R,Sports,125,White,19,Male,UPI,113264,4424,11210,9915,26462,3509,126896,90213,36683,3,3.6
ORD000108,29-01-2023,2023,1,January,Q1,Uttar Pradesh,Lucknow,Hero Dealer Lucknow,Showroom Walk-in,Xtreme 125R,Sports,125,Green,20,Female,Cash,121386,9859,7397,15374,22419,5115,130532,96147,34385,9,4.8
ORD000109,17-08-2024,2024,8,August,Q3,Gujarat,Vadodara,Hero Dealer Vadodara,Corporate Sale,Splendor Plus,Commuter,100,Red,47,Male,UPI,98589,4534,8293,10985,0,5491,112068,74795,37273,3,3.7
ORD000110,19-08-2020,2020,8,August,Q3,West Bengal,Siliguri,Hero Dealer Siliguri,Showroom Walk-in,Passion Plus,Commuter,97,Black,33,Female,UPI,92992,142,2682,9902,0,270,97116,73066,24050,2,4.7
ORD000111,07-04-2021,2021,4,April,Q2,Bihar,Gaya,Hero Dealer Gaya,Showroom Walk-in,Pleasure Plus,Scooter,110,Red,38,Female,Cash,83625,5041,7889,5759,0,4102,83582,61586,21996,11,4.1
ORD000112,18-03-2024,2024,3,March,Q1,Tamil Nadu,Madurai,Hero Dealer Madurai,Showroom Walk-in,HF Deluxe,Commuter,97,Matte Blue,44,Female,Cash,72593,3862,2448,1433,0,392,77516,52848,24668,7,3.5
ORD000113,24-11-2024,2024,11,November,Q4,Rajasthan,Jodhpur,Hero Dealer Jodhpur,Corporate Sale,Destini 125,Scooter,125,White,37,Male,UPI,94951,3056,7691,5937,0,4587,103250,73464,29786,5,4.4
ORD000114,03-08-2024,2024,8,August,Q3,Chandigarh,Chandigarh,Hero Dealer Chandigarh,Showroom Walk-in,HF Deluxe,Commuter,97,Blue,58,Female,Finance,74697,4853,7056,4382,49814,2297,72708,58341,14367,3,4.3
ORD000115,16-07-2020,2020,7,July,Q3,Gujarat,Vadodara,Hero Dealer Vadodara,Corporate Sale,Xpulse 200 4V,Adventure,199,Blue,56,Male,Finance,167293,8269,2347,21072,162687,7820,167042,129488,37554,12,4.2
